post_id,platform,timestamp,content,reactions
1,LinkedIn,01-03-2024 09:10,Excited to share a new job opportunity in data analytics. Looking for motivated graduates.,45
2,Facebook,01-03-2024 20:15,Had a great evening with friends and family. Good food and lots of laughs.,22
3,LinkedIn,02-03-2024 10:05,Proud to announce the successful launch of our new product. Great teamwork by everyone.,58
4,Facebook,02-03-2024 22:30,Traffic was terrible today and it made the commute very stressful.,8
5,LinkedIn,03-03-2024 08:40,Sharing insights from our latest research on social media analytics and engagement metrics.,37
6,Facebook,03-03-2024 19:20,This phone update is amazing. Battery life is much better now.,26
7,LinkedIn,04-03-2024 11:25,"Join us for a webinar on career growth, professional networking, and leadership skills.",33
8,Facebook,04-03-2024 21:05,Feeling tired but grateful after a long week at work.,15
9,LinkedIn,05-03-2024 09:00,Congratulations to the team members promoted this quarter. Well deserved success.,50
10,Facebook,05-03-2024 18:45,Not happy with customer service lately. Response times are really bad.,10
11,LinkedIn,06-03-2024 10:10,Our organization is hiring interns for summer projects in marketing and analytics.,41
12,Facebook,06-03-2024 22:15,Watched an amazing movie tonight. Highly recommend it to everyone.,24
13,LinkedIn,07-03-2024 08:55,Reflecting on leadership lessons learned from managing diverse teams.,35
14,Facebook,07-03-2024 20:00,Missing travel so much. Hoping to plan a vacation soon.,17
15,LinkedIn,08-03-2024 09:35,Data driven decision making is essential for modern organizations.,44
16,Facebook,08-03-2024 19:50,So disappointed with the recent app update. It keeps crashing.,9
17,LinkedIn,09-03-2024 10:20,Thank you to our clients for trusting us with their business needs.,47
18,Facebook,09-03-2024 21:10,Great workout today. Feeling energized and motivated.,21
19,LinkedIn,10-03-2024 08:30,Exploring new trends in digital marketing and data visualization.,38
20,Facebook,10-03-2024 18:55,Enjoyed a relaxing Sunday with good music and coffee.,19
21,LinkedIn,11-03-2024 09:15,We are excited to welcome new hires to our growing analytics team.,52
22,Facebook,11-03-2024 20:25,Feeling overwhelmed but hopeful. One step at a time.,14
23,LinkedIn,12-03-2024 10:00,Sharing best practices for improving employee engagement and productivity.,40
24,Facebook,12-03-2024 22:00,Customer support finally resolved my issue. Appreciate the help.,23
25,LinkedIn,13-03-2024 08:45,Our latest report highlights key insights from social media data.,46
26,Facebook,13-03-2024 19:30,This weather is gloomy and it really affects my mood.,11
27,LinkedIn,14-03-2024 09:50,Continuous learning is crucial for career development in technology fields.,43
28,Facebook,14-03-2024 21:15,Had fun cooking a new recipe tonight. Turned out great.,20
29,LinkedIn,15-03-2024 10:05,Proud of the team for delivering results under tight deadlines.,49
30,Facebook,15-03-2024 18:35,Feeling exhausted after a busy day but still thankful.,16
